44;"QUAL ERA O CÓDIGO DA IDENTIDADE SECRETA DO JAMES BOND?";"7O7";"9O7";"OO8";"OO7";"4"
45;"QUAL É A FRUTA QUE VOCÊ ASSOCIA COM A CIDADE DE LARANJAL?";"MELANCIA";"LARANJA";"MAÇÃ";"UVA";"2"
46;"QUANTOS CENTAVOS TEM UM REAL?";"DEZ";"MIL";"CEM";"CINQÜENTA";"3"
47;"QUAL ERA O ' FRUTO PROIBIDO' QUE ADÃO E EVA COMERAM NO JARDIM DO ÉDEN?";"MAMÃO";"MAÇÃ";"UVA";"ABACAXI";"2"
48;"COMO É CONHECIDA A PONTE QUE LIGA AS CIDADES DO RIO DE JANEIRO E DE NITERÓI?";"RIO KWAIT";"RIO-NITERÓI";"RIO S. FRANCISCO";"BROOKLIN";"2"
49;"QUE DIA É COMEMORADO A PROCLAMAÇÃO DA REPÚBLICA NO BRASIL?";"19 DE ABRIL";"15 DE OUTUBRO";"19 DE NOVEMBRO";"15 DE NOVEMBRO";"4"
50;"O QUE MEDE O TERMÔMETRO?";"LONGITUDE";"UMIDADE";"TEMPERATURA";"LATITUDE";"3"
51;"A QUE CONTINENTE PERTENCE O RIO AMAZONAS?";"AMERICANO";"AFRICANO";"EUROPEU";"ASIÁTICO";"1"
52;"QUEM ESCULPIU PINÓCHIO?";"GEPETO";"A FADA";"A BRUXA";"A RAPOSA";"1"
53;"QUAL É A MOEDA OFICIAL DOS ESTADOS UNIDOS?";"ESCUDO";"COROA";"DÓLAR";"LIBRA";"3"
54;"DE QUANTO O BRASIL PERDEU DA FRANÇA NA FINAL DA COPA DE 98?";"DOIS A ZERO";"TRÊS A ZERO";"QUATRO A ZERO";"CINCO A ZERO";"2"
55;"QUANTAS FOLHAS TEM UM TREVO DA SORTE?";"TRÊS";"QUATRO";"CINCO";"SEIS";"2"
56;"QUEM É O PAI DA CHIQUINHA?";"GIRAFALES";"SEU BARRICA";"SEU MADRUGA";"NHONHO";"3"
57;"O QUE VEM DEPOIS DO VERÃO E ANTES DO INVERNO?";"OUTONO";"PRIMAVERA";"INVERNO";"VERÃO";"1"
58;"VIOLONCELO É UM INSTRUMENTO DE:";"SOPRO";"CORDAS";"PERCUSSÃO";"REPERCUSSÃO";"2"
59;"A BRUXA ENVENENOU BRANCA DE NEVE COM QUE FRUTA?";"MAÇÃ";"PÊRA";"MELÃO";"LARANJA";"1"
60;"QUEM É O TÉCNICO DA SELEÇÃO BRASILEIRA DE FUTEBOL?";"ZAGALLO";"SCOLARI";"LUXEMBURGO";"CARPEGIANNI";"3"
61;"EM QUE CIDADE É REALIZADA A CORRIDA SÃO SILVESTRE?";"B. HORIZONTE";"R. DE JANEIRO";"SÃO PAULO";"SALVADOR";"3"
62;"QUAL ÁREA DA MEDICINA QUE TRATA  AS CRIANÇAS?";"GERIATRIA";"PEDIATRIA";"INFANTOLOGIA";"BIOLOGIA";"2"
63;"O SAQUÊ É UMA BEBIDA ORIGINÁRIA DE QUE PAÍS?";"ESTADOS UNIDOS";"JAPÃO";"CORÉIA DO SUL";"CHINA";"2"
64;"O CAMELO TEM QUANTAS CORCOVAS ?";"UMA";"DUAS";"TRÊS";"QUATRO";"2"
65;"UM ADULTO SADIO TEM QUANTOS DENTES NA BOCA?";"DEZOITO";"VINTE E QUATRO";"TRINTA E DOIS";"TRINTA E SEIS";"3"
66;"O PADRE MARCELO ROSSI NASCEU EM QUE ESTADO?";"MINAS GERAIS";"PARANÁ";"SÃO PAULO";"RIO DE JANEIRO";"3"
67;"QUAL DOS SETE ANÕES USA ÓCULOS?";"DUNGA";"ZANGADO";"DENGOSO";"MESTRE";"4"
68;"QUEM É O HOMEM DE AÇO DAS HISTÓRIAS EM QUADRINHOS?";"BATMAN";"HULK";"HE-MAN";"SÚPER-HOMEM";"4"
69;"CAVALO, RAINHA E TORRE SÃO PEÇAS DE QUAL JOGO?";"DAMAS";"XADREZ";"LUDO";"DOMINÓ";"2"
70;"TURMALINA É UMA ESPÉCIE DE QUÊ?";"FLOR";"FRUTA";"PEDRA";"VERDURA";"3"
71;"QUAL É O SANTO CASAMENTEIRO?";"SÃO PEDRO";"SÃO PAULO";"SÃO JOÃO";"SANTO ANTÕNIO";"4"
72;"QUEM É O ATUAL MINISTRO DA SAÚDE DO BRASIL?";"ADIB JATENE";"JOSÉ SERRA";"CIRO GOMES";"PEDRO MALAN";"2"
73;"QUE TIPO DE INSTRUMENTO É O PIANO?";"SOPRO";"CORDA";"PERCUSSÃO";"FORÇA";"2"
74;"SEGUNDO A BÍBLIA, CAIM MATOU QUEM?";"ADÃO";"ISAAC";"ABEL";"ABRAÃO";"3"
75;"QUE LIVRO TEM O VELHO E O NOVO TESTAMENTO?";"A BÍBLIA";"ENCICLOPÉDIA";"DICIONÁRIO";"RECEITAS";"1"
76;"QUE OBJETO USADO NA CHUVA, O PINGÜIM DO BATMAN, USA COMO ARMA?";"GUARDA-CHUVA";"CHAPÉU";"GALOCHA";"CAPA";"1"
77;"QUE CRIATURA  MITOLÓGICA É METADE MULHER E METADE PEIXE?";"SEREIA";"MEDUSA";"CLEÓPATRA";"IEMANJÁ";"1"
78;"QUAL É A PROFISSÃO DA IRMÃ DE GUGU LIBERATO ?";"TEATRÓLOGA";"PODÓLOGA";"NUMERÓLOGA";"ASTRÓLOGA";"3"
79;"DE QUAL PAÍS É O CHAMPAGNE ?";"AMÉRICA";"HOLANDA";"FRANÇA";"SUÉCIA";"3"
80;"QUE DUPLA SERTANEJA OS INTEGRANTES PLANTAVAM TOMATE NA ROÇA, EM GOIÁS, ANTES DA FAMA?";"CHITÃOZINHO E XORORÓ";"RIO NEGRO E SOLIMÕES";"ZEZÉ DI CAMARGO E LUCIANO";"LEANDRO E LEONARDO";"4"
81;"QUAL É A PEDRA PRECIOSA QUE SE FORMA LENTAMENTE DENTRO DAS OSTRAS?";"DIAMANTE";"PÉROLA";"RUBI";"ESMERALDA";"2"
82;"QUAL É O DIA DA MENTIRA ?";"26/Dez";"07/Set";"01/Abr";"15/Nov";"3"
83;"EM QUE ESTADO NASCEU A CANTORA ELBA RAMALHO ?";"PARAÍBA";"CEARÁ";"BAHIA";"ALAGOAS";"1"
84;"QUAL É O DIA DAS CRIANÇAS?";"12 DE OUTUBRO";"1 DE ABRIL";"13 DE MAIO";"9 DE JULHO";"1"
85;"EM QUE ESTADO DO BRASIL NASCERAM OS CANTORES CHITÃOZINHO E XORORÓ?";"PARANÁ";"MINAS GERAIS";"MATO GROSSO";"GOIÁS";"1"
86;"QUEM É A MULHER DO TARZAN ?";"DIANA";"LOUIS LAINE";"JANE";"CHITA";"3"
87;"QUAL A PROFISSÃO DOS SETE ANÕES?";"MINEIROS";"LENHADORES";"AGRICULTORES";"PASTORES";"1"
88;"QUEM É POTIGUAR, NASCE EM QUE ESTADO DO BRASIL?";"ESPÍRITO SANTO";"R. G. DO NORTE";"SANTA CATARINA";"PARANÁ";"2"
89;"UMA EQUIPE DE VÔLEI COMEÇA UMA PARTIDA COM QUANTOS TITULARES NA QUADRA?";"CINCO";"SEIS";"SETE";"OITO";"2"
90;"QUE PROFISSIONAL CONDUZ O ELEVADOR?";"CONDUTOR";"ELEVADORISTA";"ASCENSORISTA";"BOTONISTA";"3"
91;"SEGUNDO A BÍBLIA, JESUS CRISTO TINHA QUANTOS APÓSTOLOS?";"DEZ";"ONZE";"DOZE";"TREZE";"3"
92;"A MÁFIA SURGIU  NA IDADE MÉDIA EM QUE PAÍS?";"ESTADOS UNIDOS";"INGLATERRA";"ITÁLIA";"ESPANHA";"3"
93;"QUE PERSONAGEM DOS QUADRINHOS, USA UM COELHO COMO ARMA E TEM DENTES GRANDES?";"MAGALI";"CEBOLINHA";"CASCÃO";"MÔNICA";"4"
94;"O PRESIDENTE FERNANDO HENRIQUE É FORMADO EM QUAL FACULDADE?";"ADMINISTRAÇÃO";"ECONOMIA";"DIREITO";"SOCIOLOGIA";"4"
95;"QUAL É CONSIDERADO O MÊS DAS NOIVAS?";"SETEMBRO";"JUNHO";"MAIO";"OUTUBRO";"3"
96;"QUEM INVENTOU O TELEFONE?";"GRAHAM BELL";"G. WASHINGTON";"TOMAS EDISON";"MARCONI";"1"
97;"QUE TIPO DE ANIMAL É UM ROTWEILLER?";"CAVALO";"CACHORRO";"CAMELO";"COELHO";"2"
98;"COMO É CHAMADO O ESPORTE COM AVIÕEZINHOS VIA CONTROLE REMOTO?";"AUTOMOBILISMO";"IATISMO";"AEROMODELISMO";"ATLETISMO";"3"
99;"O QUE QUER DIZER A FRASE ' I LOVE YOU ' EM PORTUGUÊS?";"BOM DIA";"ATÉ LOGO";"EU TE AMO";"ESTOU COM FOME";"3"
100;"TURMALINA É UMA ESPÉCIE DE QUÊ?";"FLOR";"FRUTA";"PEDRA";"VERDURA";"3"
101;"QUAL PERSONAGEM FAMOSO, LIDEROU UM BANDO NA FLORESTA DE SHERWOOD?";"ROBIN COOK";"ROBIN BANKS";"ROBIN HOOD";"ROBIN DAYS";"3"
102;"DE QUE COR É A PEDRA RUBI?";"AZUL";"VERDE";"AMARELA";"VERMELHA";"4"
103;"QUAL É A VERDURA QUE FORTALECE O MARINHEIRO POPEYE?";"ALFACE";"ESPINAFRE";"CENOURA";"REPOLHO";"2"
104;"QUAL É O SANTO CASAMENTEIRO?";"SÃO PEDRO";"SÃO PAULO";"SÃO JOÃO";"SANTO ANTÔNIO";"4"
105;"QUAL ERA A PROFISSÃO DO LULA PRESIDENTE DO PT?";"ENGRAXATE";"PEDREIRO";"FEIRANTE";"METALÚRGICO";"4"
106;"QUEM FOI O AMOR DO IMPERADOR MARCO ANTONIO?";"SHERAZADE";"LADY GODIVA";"CLEÓPATRA";"JULIETA";"3"
107;"QUAL ESTAÇÃO É CONHECIDA COMO A QUE CAEM AS FOLHAS DAS ÁRVORES?";"VERÃO";"OUTONO";"INVERNO";"PRIMAVERA";"2"
108;"COMO JOANA D'ARC MORREU?";"ENFORCADA";"AFOGADA";"QUEIMADA";"ASFIXIADA";"3"
109;"QUEM ERA FRANKINSTEIN?";"UM MONSTRO";"UM GORILA";"UM PRÍNCIPE";"UM SAPO";"1"
110;"QUAL É A ASSOCIAÇÃO QUE TEM POR LEMA ' SEMPRE ALERTA '?";"MÃES";"ESCOTEIROS";"BOMBEIROS";"POLICIAIS";"2"
111;"QUE CARGO PÚBLICO É OCUPADO POR ANTONY GAROTINHO, NO RIO DE JANEIRO ?";"PREFEITO";"GOVERNADOR";"SENADOR";"SECRETÁRIO";"2"
112;"TARZAN É O REI DO QUE ?";"DA SELVA";"DA NOITE";"DA TASMÂNIA";"DAS MULHERES";"1"
113;"COMO É CHAMADO O HOMEM SEDUTOR OU CONQUISTADOR IRRESISTÍVEL ?";"DOM JUAN";"DOM DÓCA";"DOM GALÃ";"DOM DIVINO";"1"
114;"UM SÉCULO TEM QUANTOS ANOS?";"50";"100";"1000";"1500";"2"
115;"QUAL É O COLETIVO DE CÃES?";"MATILHA";"REBANHO";"ALCATÉIA";"MANADA";"1"
116;"SEGUNDO A BÍBLIA, EM QUE RIO JESUS FOI BATIZADO POR JOÃO BATISTA?";"RIO NILO";"RIO SENA";"RIO RENO";"RIO JORDÃO";"4"
117;"QUAL É A MAIOR FLORESTA DO PLANETA?";"NEGRA";"SHERWOOD";"TIJUCA";"AMAZÔNICA";"4"
118;"QUAL NAIPE DO BARALHO TEM O DESENHO DE CORAÇÃO?";"OUROS";"PAUS";"COPAS";"ESPADAS";"3"
119;"QUAL ATRIZ ESTRELOU O FILME: 'A LAGOA AZUL'";"ALICIA SILVERSTONE";"BROOKE SHIELDS";"JULIA ROBERTS";"JESSICA LANGE";"2"
120;"QUE CASAL FOI EXPULSO DO PARAÍSO ?";"SANSÃO E DALILA";"JOSÉ E MARIA";"SARA E ABRAÃO";"ADÃO  E EVA";"4"
121;"QUE ANIMAL SE TRANSFORMA EM PRÍNCIPE, QUANDO É BEIJADO PELA PRINCESA NOS CONTOS INFANTIS?";"CAVALO";"CÃO";"GATO";"SAPO";"4"
122;"QUEM SÓ ACREDITA VENDO É SEGUIDOR DE QUAL SANTO?";"SANTO ANTÔNIO";"SÃO JUDAS TADEU";"SÃO PEDRO";"SÃO TOMÉ";"4"
123;"QUAL FRUTO É CONHECIDO NO NORTE E NORDESTE DO BRASIL COMO 'JERIMUM'?";"CAJU";"ABÓBORA";"CHUCHU";"COCO";"2"
124;"AS PONTES DE SAFENA SÃO IMPLANTADAS EM QUE PARTE DO CORPO HUMANO?";"ESTÔMAGO";"INTESTINO";"PULMÃO";"CORAÇÃO";"4"
125;"QUAL É A ÚNICA GOVERNADORA DO BRASIL?";"RITA CAMATA";"LUISA ERUNDINA";"ROSEANA SARNEY";"CONCEIÇÃO TAVARES";"3"
126;"O JOGADOR EDMUNDO JOGA EM QUE TIME?";"CORINTHIANS";"BOTAFOGO";"VASCO DA GAMA";"FLAMENGO";"3"
127;"QUEM CRIOU A BONECA EMÍLIA NA LITERATURA?";"MONTEIRO LOBATO";"MAURÍCIO DE SOUZA";"WALT DISNEY";"JÔ SOARES";"1"
128;"O QUE SÃO PRATO, MINAS E PROVOLONE ?";"JÓIAS";"QUEIJOS";"ÁGUA MINERAL";"METAIS";"2"
129;"NO FAMOSO CONTO, QUE TIPO DE ANIMAL ERA ' MOBY DICK ' ?";"TUBARÃO";"GOLFINHO";"POLVO";"BALEIA";"4"
130;"QUAL É O ANIMAL QUE REPRESENTA O SIGNO DE TOURO?";"HIPOPÓTAMO";"CAVALO";"TOURO";"GALO";"3"
131;"B, N, e V SÃO :";"MARCAS DE UM CARRO";"LETRAS DO ALFABETO";"PARTIDO POLÍTICO";"POLÍCIA SECRETA";"2"
132;"QUE TIPO DE ANIMAL É O PATETA ?";"CAVALO";"BURRO";"CACHORRO";"RAPOSA";"3"
133;"EM QUE CIDADE ESTÁ LOCALIZADA A ESTÁTUA DO CRISTO REDENTOR?";"RIO DE JANEIRO";"SÃO PAULO";"CURITIBA";"BELO HORIZONTE";"1"
134;"QUEM  É CONHECIDO COMO O PLAYBOY BRASILEIRO ?";"JOÃOZINHO TRINTA";"ZECA PAGODINHO";"CHIQUINHO SCARPA";"CHICO BUARQUE";"3"
135;"UM METRO TEM QUANTOS CENTÍMETROS?";"10";"100";"1000";"10000";"2"
136;"QUAL É O NOME DO MACHO DA ABELHA ?";"ZANGÃO";"GARANHÃO";"FERRÃO";"RUFIÃO";"1"
137;"QUAL BICHO TRANSMITE A DOENÇA DE CHAGAS ?";"ABELHA";"BARATA";"BARBEIRO";"PULGA";"3"
138;"QUAL O NOME DADO À CONTAGEM FEITA PELO GOVERNO, PARA SABER O NÚMERO DE PESSOAS DE UM PAÍS?";"CENSO";"CONTAGEM";"MARCAÇÃO";"CONTA";"1"
139;"QUAL O NOME DO ATOR QUE INTERPRETA O PERSONAGEM ZÉ BONITINHO NA TV?";"RONI CÓCEGAS";"JORGE LOREDO";"DAVI PINHEIRO";"ARNAUD RODRIGUES";"2"
140;"QUAL CANTORA É CONHECIDA COMO  'A RAINHA DOS CAMINHONEIROS' ?";"ROBERTA MIRANDA";"MARIA BETHÂNIA";"SULA MIRANDA";"RITA CADILLAC";"3"
141;"QUAL É A MISSA REZADA NO NATAL?";"CAMPAL";"DO GALO";"DO VATICANO";"DE SÉTIMO DIA";"2"
142;"QUAL O ORIXÁ É CONHECIDA COMO A ' RAINHA DO MAR '?";"MAMÃE OXUM";"IEMANJÁ";"POMBA-GIRA";"IANSÃ";"2"
143;"QUEM DISSE NO JULGAMENTO DE JESUS: 'EU LAVO MINHAS MÃOS'?";"BARRABÁS";"TIBÉRIO";"PÔNCIO PILATOS";"JUDAS";"3"
144;"QUANDO O MÉDICO RECEITA UM REMÉDIO VIA ORAL, AS PESSOAS DEVEM TOMAR:";"PELO OUVIDO";"PELO NARIZ";"PELA BOCA";"PELOS OLHOS";"3"
145;"QUE ESPORTE  FERNANDO SCHERER, O XUXA,  PRATICA?";"CICLISMO";"VÔLEI DE PRAIA";"NATAÇÃO";"SURF";"3"
146;"QUEM LIBERTOU  OS ESCRAVOS EM 1888 ?";"JOANA D'ARC";"ANITA  GARIBALDI";"PRINCESA  ISABEL";"IMPERATRIZ LEOPOLDINA";"3"
147;"QUAL O NOME VERDADEIRO DA TIAZINHA?";"SUZANA WERNER";"JOANA PRADO";"LETÍCIA SPILLER";"SUZANA ALVES";"4"
148;"QUANTOS ANÕES HAVIA NA HISTÓRIA DA BRANCA DE NEVE?";"SEIS";"SETE";"OITO";"NOVE";"2"
149;"O QUÊ A MULHER-GATO É DO BATMAN ?";"AMIGA";"IRMÃ";"NAMORADA";"INIMIGA";"4"
150;"COMO ERAM CHAMADOS OS NAVIOS QUE TRAZIAM OS ESCRAVOS PARA O BRASIL?";"BRANQUEIROS";"PESQUEIROS";"NEGREIROS";"PETROLEIROS";"3"
151;"O HUMORISTA MUSSUM FOI INTEGRANTE DE QUAL GRUPO DE SAMBA?";"FUNDO DE QUINTAL";"TITULARES DO RITMO";"ORIGINAIS DO SAMBA";"BANDA BRASIL";"3"
152;"ONDE FICAM AS MULHERES DO SULTÃO?";"HARÉM";"LABIRINTO";"COLISEU";"CHOUPANA";"1"
153;"DE QUANTAS CORES É COMPOSTO O ARCO-ÍRIS ?";"3";"7";"12";"22";"2"
154;"NOS DESENHOS ANIMADOS, QUEM É A MULHER DE FRED FLINSTONE?";"BETH";"VILMA";"MARGARIDA";"CLARABELA";"2"
155;"A FRASE 'ABRA-TE SÉSAMO' FOI DITA POR QUEM ?";"D.PEDRO I";"HÉRCULES";"ALI BABÁ";"DUNGA";"3"
156;"A ESTÁTUA DA LIBERDADE FICA LOCALIZADA EM QUAL CIDADE?";"LONDRES";"NOVA YORK";"PARIS";"MADRI";"2"
157;"QUAL DESTES PERSONAGENS NÃO USA UMA CAPA ?";"SUPER-HOMEM";"BATMAN";"HOMEM-ARANHA";"ZORRO";"3"
158;"QUAL É O REI DOS ANIMAIS?";"ELEFANTE";"GORILA";"LEÃO";"RINOCERONTE";"3"
159;"O QUE TÊM EM COMUM ROSA, LILÁS E AZUL ?";"SÃO VINHOS";"SÃO FLORES";"SÃO CORES";"SÃO ILHAS";"3"
160;"COMO SE CHAMA O OSSO DA COXA DO HOMEM?";"FÊMUR";"TÍBIA";"PERÔNIO";"ÚMERO";"1"
161;"COMO É CHAMADO O   ESPAÇO DE TEMPO   ENTRE O NASCER E O PÔR DO SOL ?";"MADRUGADA";"DIA";"NOITE";"SEMANA";"2"
162;"O BATMAN,  O DARKMAN E O RAINMAN SÃO ?";"ARTISTAS DE TEATRO";"FILMES DE CINEMA";"CONJUNTO DE ROCK";"MARCAS DE CIGARRO";"2"
163;"QUE FRUTA É RESSECADA PARA SE TORNAR UMA AMEIXA SECA?";"AMEIXA";"UVA";"PÊSSEGO";"MELÃO";"1"
164;"QUE ANIMAL É O PERSONAGEM GARFIELD ?";"CACHORRO";"MACACO";"COELHO";"GATO";"4"
165;"QUAL PERSONAGEM VIVE NO PAÍS DAS MARAVILHAS?";"CINDERELA";"BELA ADORMECIDA";"ALICE";"CHAPEUZINHO VERMELHO";"3"
166;"O QUE NORMALMENTE AS PESSOAS  CONTAM   PARA DORMIR ?";"CARNEIROS";"NÚMEROS";"MÚSICA";"ESTRELAS";"1"
167;"COMO HEBE CAMARGO INICIOU A SUA CARREIRA?";"MODELO";"CORISTA";"ATRIZ";"CANTORA";"4"
168;"COMO SE CHAMA A PESSOA JULGADA EM UM TRIBUNAL ?";"PROMOTOR";"RÉU";"JURADO";"ESCRAVO";"2"
169;"CRUSH, PEPSI E FANTA SÃO ?";"REFRIGERANTES";"CANTORES DE ROCK";"PERFUMES";"MÚSICOS";"1"
170;"EM QUE MÊS COMEMORAMOS O DIA DOS PAIS ?";"NOVEMBRO";"SETEMBRO";"AGOSTO";"FEVEREIRO";"3"
171;"QUAL É O ESPORTE MAIS POPULAR DO BRASIL ?";"FUTEBOL";"NATAÇÃO";"GOLFE";"EQUITAÇÃO";"1"
172;"O FREVO É UM RITMO  DE QUE ESTADO  DO BRASIL ?";"SÃO PAULO";"BAHIA";"PERNAMBUCO";"PARAÍBA";"3"
173;"EM QUE DIA TIRADENTES FOI MORTO?";"25 DE DEZEMBRO";"04 DE JULHO";"01 DE JANEIRO";"21 DE ABRIL";"4"
174;"QUEM É O AMIGO DA MÔNICA, QUE FALA ELADO?";"MAGALI";"CASCÃO";"ANJINHO";"CEBOLINHA";"4"
